Section,Page,Demo name,Example ID,Docs link,Environment,Docs OK,Docs note,Sandbox OK,Sandbox note
Columns,Column filter,Filter different types of data,exampleFilterDifferentTypes,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleFilterDifferentTypes,prod,PASS,,PASS,
Columns,Column filter,Filter data on initialization,exampleFilterOnInitialization,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleFilterOnInitialization,prod,PASS,,PASS,
Columns,Column filter,External quick filter,exampleQuickFilter,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleQuickFilter,prod,PASS,,PASS,
Columns,Column filter,Customize the filter button,exampleCustomFilterButton,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleCustomFilterButton,prod,PASS,,PASS,
Columns,Column filter,Customize the filter button,exampleCustomFilterButton2,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleCustomFilterButton2,prod,PASS,,PASS,
Columns,Column filter,Exclude rows from filtering,exampleExcludeRowsFromFiltering,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleExcludeRowsFromFiltering,prod,PASS,,PASS,
Columns,Column filter,Server-side filtering,exampleServerSideFilter,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleServerSideFilter,prod,PASS,,PASS,
Columns,Column filter,Filter data programmatically,exampleFilterThroughAPI1,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleFilterThroughAPI1,prod,PASS,,PASS,
Columns,Column filter,Save and restore filter settings,exampleSaveRestoreFilters,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/column-filter/#exampleSaveRestoreFilters,dev (staging),PASS,,PASS,
Columns,Column filter,Get filtered data,exampleGetFilteredData,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/column-filter/#exampleGetFilteredData,dev (staging),PASS,,PASS,
Rows,Row headers,Row headers as an array,example2,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/row-header/#example2,dev (staging),PASS,,PASS,
Rows,Row headers,Row headers as a function,example3,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/row-header/#example3,dev (staging),PASS,,PASS,
Rows,Row headers,Basic example,example1,https://handsontable.com/docs/vue-data-grid/row-header/#example1,prod,PASS,,PASS,
Rows,Row parent-child,Prepare the data source,example1,https://handsontable.com/docs/vue-data-grid/row-parent-child/#example1,prod,PASS,,PASS,
Rows,Row hiding,Enable row hiding,example1,https://handsontable.com/docs/vue-data-grid/row-hiding/#example1,prod,PASS,,PASS,
Rows,Row hiding,Step 1: Specify rows hidden by default,example2,https://handsontable.com/docs/vue-data-grid/row-hiding/#example2,prod,PASS,,PASS,
Rows,Row hiding,Step 2: Show UI indicators,example3,https://handsontable.com/docs/vue-data-grid/row-hiding/#example3,prod,PASS,,PASS,
Rows,Row hiding,Step 3: Set up context menu items,example4,https://handsontable.com/docs/vue-data-grid/row-hiding/#example4,prod,PASS,,PASS,
Rows,Row hiding,Step 3: Set up context menu items,example5,https://handsontable.com/docs/vue-data-grid/row-hiding/#example5,prod,PASS,,PASS,
